Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
colorectal cancer,blood in stool,sharp abdominal pain,rectal bleeding,pain of the anus,skin rash,warts,,,,,,
skin pigmentation disorder,skin swelling,skin lesion,acne or pimples,irregular appearing scalp,skin moles,hurts to breath,skin irritation,foot or toe cramps or spasms,skin growth,symptoms of bladder,abnormal appearing skin,
factitious disorder,depression,depressive or psychotic symptoms,elbow weakness,disturbance of memory,,,,,,,,
lymphogranuloma venereum,sore throat,ear pain,knee lump or mass,,,,,,,,,
galactorrhea of unknown cause,anxiety and nervousness,emotional symptoms,pain or soreness of breast,bleeding or discharge from nipple,,,,,,,,
g6pd enzyme deficiency,cough,emotional symptoms,,,,,,,,,,
nerve impingement near the shoulder,hand or finger stiffness or tightness,elbow pain,problems with movement,shoulder weakness,neck pain,shoulder pain,arm pain,shoulder stiffness or tightness,,,,
toxoplasmosis,emotional symptoms,diminished vision,,,,,,,,,,
fibroadenoma,vaginal dryness,hot flashes,pain or soreness of breast,nightmares,bones are painful,bleeding or discharge from nipple,,,,,,
open wound of the hand,hand or finger pain,hand or finger stiffness or tightness,nailbiting,hand or finger swelling,,,,,,,,
missed abortion,blood in stool,lower abdominal pain,intermenstrual bleeding,pain during pregnancy,problems during pregnancy,spotting or bleeding during pregnancy,sharp abdominal pain,cramps and spasms,blood clots during menstrual periods,,,
diabetic ketoacidosis,depressive or psychotic symptoms,vomiting,diarrhea,decreased appetite,fluid retention,sharp chest pain,sharp abdominal pain,frequent urination,weakness,nausea,,
granuloma inguinale,sharp chest pain,knee lump or mass,,,,,,,,,,
obsessive compulsive disorder (ocd),depression,depressive or psychotic symptoms,hostile behavior,temper problems,lack of growth,feeling ill,elbow stiffness or tightness,leg lump or mass,anxiety and nervousness,,,
injury of the ankle,wrist swelling,foot or toe pain,ankle pain,foot or toe swelling,joint pain,throat redness,too little hair,leg pain,,,,
hyponatremia,shortness of breath,sharp chest pain,fainting,sharp abdominal pain,vomiting,back pain,nausea,weakness,seizures,,,
stricture of the esophagus,difficulty in swallowing,problems with movement,heartburn,sharp chest pain,vomiting,regurgitation.1,,,,,,
fracture of the ankle,leg pain,foot or toe pain,ankle pain,knee weakness,too little hair,lump over jaw,foot or toe swelling,,,,,
soft tissue sarcoma,groin mass,skin lesion,skin growth,hurts to breath,skin moles,abnormal appearing skin,symptoms of bladder,,,,,
bone disorder,difficulty speaking,leg pain,back pain,bones are painful,leg cramps or spasms,knee pain,muscle stiffness or tightness,,,,,
epilepsy,abnormal involuntary movements,difficulty speaking,lack of growth,disturbance of memory,seizures,headache,itching of scrotum,,,,,
personality disorder,anxiety and nervousness,insomnia,hostile behavior,drug abuse,excessive anger,fears and phobias,elbow stiffness or tightness,depression,temper problems,depressive or psychotic symptoms,delusions or hallucinations,
shingles (herpes zoster),headache,abnormal appearing skin,facial pain,symptoms of bladder,foot or toe cramps or spasms,sharp chest pain,skin lesion,pain in eye,back pain,,,
tourette syndrome,abnormal involuntary movements,drug abuse,headache,allergic reaction,depressive or psychotic symptoms,,,,,,,
avascular necrosis,hip pain,drug abuse,knee pain,shoulder pain,,,,,,,,
strep throat,nasal congestion,difficulty in swallowing,vomiting,headache,decreased appetite,ache all over,chills,sore throat,cough,fever,ear pain,foot or toe cramps or spasms
spinocerebellar ataxia,anxiety and nervousness,abnormal involuntary movements,problems with movement,dizziness,,,,,,,,
osteomyelitis,difficulty speaking,skin lesion,bones are painful,skin on leg or foot looks infected,hand or finger swelling,arm swelling,hand or finger pain,,,,,
sjogren syndrome,difficulty in swallowing,symptoms of eye,pain in eye,diminished vision,ache all over,joint pain,,,,,,
adhesive capsulitis of the shoulder,arm pain,neck pain,shoulder stiffness or tightness,ache all over,muscle pain,shoulder pain,,,,,,
viral hepatitis,abusing alcohol,hand or finger stiffness or tightness,stomach bloating,sharp abdominal pain,melena,,,,,,,
tonsillar hypertrophy,cough,fever,abnormal breathing sounds,redness in ear,sore throat,difficulty in swallowing,nasal congestion,apnea,,,,
gastritis,sharp chest pain,sharp abdominal pain,vomiting,diarrhea,burning abdominal pain,regurgitation.1,headache,nausea,fever,vomiting blood,,
skin cancer,skin swelling,lip swelling,abnormal appearing skin,skin moles,"skin dryness,skin irritation,skin lesion,skin growth,irregular appearing scalp,hurts to breath,,
rheumatic fever,knee lump or mass,itchiness of eye,,,,,,,,,,
aphthous ulcer,headache,toothache,fever,cough,tongue lesions,irregular belly button,mouth ulcer,sore throat,,,,
tonsillitis,sore throat,lump in throat,postpartum problems of the breast,nasal congestion,diminished hearing,throat feels tight,abnormal breathing sounds,redness in ear,bleeding from ear,,,
intestinal cancer,throat feels tight,sharp abdominal pain,foot or toe swelling,diarrhea,neck mass,,,,,,,
rocky mountain spotted fever,headache,wrist pain,,,,,,,,,,
stomach cancer,difficulty in swallowing,sharp abdominal pain,diarrhea,vomiting,nausea,heartburn,burning abdominal pain,,,,,
developmental disability,depressive or psychotic symptoms,hostile behavior,restlessness,seizures,temper problems,leg lump or mass,difficulty speaking,fears and phobias,lack of growth,delusions or hallucinations,disturbance of smell or taste,
acute stress reaction,anxiety and nervousness,depressive or psychotic symptoms,sharp chest pain,dizziness,insomnia,burning abdominal pain,fatigue,depression,headache,abnormal involuntary movements,shortness of breath,
delirium,depression,depressive or psychotic symptoms,abnormal involuntary movements,difficulty speaking,problems with movement,slurring words,disturbance of memory,focal weakness,hostile behavior,delusions or hallucinations,,
callus,abnormal appearing skin,skin growth,foot or toe pain,unwanted hair,foot or toe cramps or spasms,skin swelling,acne or pimples,foot or toe swelling,skin lesion,,,
guillain barre syndrome,dizziness,difficulty speaking,leg pain,hand or finger pain,loss of sensation,,,,,,,
lumbago,hip pain,low back pain,side pain,contractures,leg pain,back pain,muscle pain,,,,,
deviated nasal septum,sore throat,nasal congestion,headache,facial pain,difficulty breathing,apnea,painful sinuses,low back cramps or spasms,abnormal breathing sounds,allergic reaction,,
hemangioma,lip swelling,skin moles,skin swelling,skin lesion,irregular appearing scalp,lymphedema,abnormal appearing skin,unwanted hair,hurts to breath,skin growth,,
peripheral arterial disease,leg pain,leg cramps or spasms,lymphedema,skin lesion,foot or toe pain,feeling cold,symptoms of the kidneys,loss of sex drive,,,,
chronic back pain,low back pain,loss of sensation,side pain,back cramps or spasms,tongue pain,leg pain,back pain,lower body pain,hip pain,neck pain,groin pain,
heart failure,sharp chest pain,cough,leg swelling,difficulty breathing,shortness of breath,chest tightness,weight gain,weakness,palpitations,irregular appearing nails,fluid retention,
conjunctivitis,sore throat,cough,itchiness of eye,coryza,sweating,white discharge from eye,pain in eye,lacrimation,nasal congestion,eye redness,fever,
herniated disk,leg pain,arm pain,back pain,neck pain,shoulder pain,swollen tongue,skin oiliness,low back pain,paresthesia,hip pain,loss of sensation,
rhabdomyolysis,depressive or psychotic symptoms,leg pain,arm pain,hoarse voice,sharp chest pain,,,,,,,
breast infection (mastitis),bleeding or discharge from nipple,fever,nightmares,skin growth,mouth dryness,pain or soreness of breast,abnormal appearing skin,chills,vaginal bleeding after menopause,,,
abdominal aortic aneurysm,shortness of breath,palpitations,back pain,sharp abdominal pain,arm swelling,burning abdominal pain,,,,,,
pulmonary embolism,chest tightness,leg pain,leg swelling,difficulty breathing,shortness of breath,weakness,side pain,sharp chest pain,cough,hemoptysis,infertility,
conduct disorder,depression,depressive or psychotic symptoms,lack of growth,hostile behavior,penis redness,abusing alcohol,fainting,seizures,excessive anger,temper problems,,
mastectomy,arm stiffness or tightness,pain or soreness of breast,skin swelling,,,,,,,,,
epididymitis,swelling of scrotum,sharp abdominal pain,painful urination,side pain,retention of urine,pain in testicles,lower body pain,groin pain,mass in scrotum,,,
premature rupture of amniotic membrane,elbow weakness,sharp abdominal pain,uterine contractions,,,,,,,,,
molluscum contagiosum,abnormal appearing skin,knee lump or mass,skin irritation,skin swelling,hurts to breath,symptoms of bladder,skin lesion,acne or pimples,foot or toe cramps or spasms,,,
necrotizing fasciitis,leg pain,hip pain,elbow weakness,,,,,,,,,
benign vaginal discharge (leukorrhea),suprapubic pain,sharp abdominal pain,vaginal itching,painful urination,vaginal discharge,vaginal redness,pain during pregnancy,burning abdominal pain,problems during pregnancy,frequent urination,,
bladder obstruction,impotence,eyelid lesion or rash,mass on vulva,involuntary urination,frequent urination,retention of urine,suprapubic pain,hysterical behavior,,,,
melanoma,skin swelling,abnormal appearing skin,skin lesion,swollen lymph nodes,skin growth,skin moles,itchy eyelid,irregular appearing scalp,,,,
cervical disorder,sharp abdominal pain,vaginal itching,pain during intercourse,pelvic pain,,,,,,,,
laryngitis,hoarse voice,sore throat,throat feels tight,fever,coryza,difficulty speaking,cough,nasal congestion,ear pain,difficulty in swallowing,,
dyshidrosis,frequent urination,skin lesion,foot or toe cramps or spasms,abnormal appearing skin,acne or pimples,,,,,,,
poisoning due to opioids,dizziness,difficulty speaking,drug abuse,depressive or psychotic symptoms,,,,,,,,
diaper rash,vomiting,diarrhea,fever,temper problems,foot or toe cramps or spasms,arm lump or mass,cough,nasal congestion,blood in stool,irritable infant,pulling at ears,
lichen planus,difficulty speaking,abnormal appearing skin,skin growth,,,,,,,,,
gastroduodenal ulcer,sharp chest pain,blood in stool,sharp abdominal pain,vomiting blood,burning abdominal pain,upper abdominal pain,changes in stool appearance,nausea,heartburn,vomiting,,
inguinal hernia,symptoms of the scrotum and testes,swelling of scrotum,mass in scrotum,lower abdominal pain,ache all over,swollen abdomen,groin pain,sharp abdominal pain,groin mass,pain in testicles,,
eczema,skin lesion,irregular appearing scalp,"skin dryness,foot or toe cramps or spasms,cough,skin swelling,abnormal appearing skin,symptoms of bladder,hurts to breath,acne or pimples,allergic reaction,skin irritation
asperger syndrome,hostile behavior,excessive anger,lack of growth,fainting,anxiety and nervousness,depressive or psychotic symptoms,disturbance of smell or taste,depression,,,,
mucositis,difficulty in swallowing,irritable infant,fever,irregular belly button,sore throat,tongue lesions,mouth ulcer,decreased appetite,,,,
paronychia,hand or finger swelling,foot or toe pain,hand or finger lump or mass,skin on leg or foot looks infected,sinus congestion,nailbiting,hand or finger pain,foot or toe swelling,abnormal appearing skin,,,
open wound of the jaw,wrist swelling,lip swelling,,,,,,,,,,
white blood cell disease,cough,sharp abdominal pain,vomiting,chills,fatigue,nausea,heartburn,fever,diarrhea,,,
kaposi sarcoma,depression,elbow weakness,,,,,,,,,,
spondylolisthesis,leg pain,neck pain,low back pain,problems with movement,loss of sensation,paresthesia,skin oiliness,hip pain,back pain,leg cramps or spasms,,
pseudotumor cerebri,dizziness,abnormal involuntary movements,headache,diminished vision,pain in eye,,,,,,,
conjunctivitis due to virus,cough,nasal congestion,white discharge from eye,eye redness,lacrimation,fever,pain in eye,itchiness of eye,sweating,diminished vision,,
open wound of the nose,diminished hearing,facial pain,low back cramps or spasms,headache,,,,,,,,
